Release:     2015_05 of 29-Apr-2015
100070: CO3A1_HUMAN (P02461)    
100100: ACM3_HUMAN  (P20309)    
100300: RHG31_HUMAN (Q2M1Z3)    
100640: AL1A1_HUMAN (P00352)    
100650: ALDH2_HUMAN (P05091)    
100660: AL3A1_HUMAN (P30838)    
100670: AL1B1_HUMAN (P30837)    
100678: THIC_HUMAN  (Q9BWD1)    
100690: ACHA_HUMAN  (P02708)    
100710: ACHB_HUMAN  (P11230)    
100720: ACHD_HUMAN  (Q07001)    
100725: ACHE_HUMAN  (Q04844)    
100730: ACHG_HUMAN  (P07510)    
100740: ACES_HUMAN  (P22303)    
100790: ASCL1_HUMAN (P50553)    
100800: FGFR3_HUMAN (P22607)    
100850: ACON_HUMAN  (Q99798)    
100880: ACOC_HUMAN  (P21399)    
101000: MERL_HUMAN  (P35240)    
101200: FGFR2_HUMAN (P21802)    
101400: TWST1_HUMAN (Q15672)    
101600: FGFR1_HUMAN (P11362)    , FGFR2_HUMAN (P21802))   
101800: KAP0_HUMAN  (P10644)    
101900: AT2A2_HUMAN (P16615)    
102200: AIP_HUMAN   (O00170)    , GNAS2_HUMAN (P63092))   
102370: FBN1_HUMAN  (P35555)    
102480: ACRO_HUMAN  (P10323)    
102500: NOTC2_HUMAN (Q04721)    
102525: ASPX_HUMAN  (P26436)    
102530: SPT16_HUMAN (Q9BXB7)    
102540: ACTC_HUMAN  (P68032)    
102545: ACTH_HUMAN  (P63267)    
102560: ACTG_HUMAN  (P63261)    
102565: FLNC_HUMAN  (Q14315)    
102573: ACTN2_HUMAN (P35609)    
102574: ACTN3_HUMAN (Q08043)    
102575: ACTN1_HUMAN (P12814)    
102576: ACVR1_HUMAN (Q04771)    
102577: RFC4_HUMAN  (P35249)    
102578: PML_HUMAN   (P29590)    
102579: RFC1_HUMAN  (P35251)    
102581: AVR2A_HUMAN (P27037)    
102582: STAT3_HUMAN (P40763)    
102593: AOAH_HUMAN  (P28039)    
102595: ACYP2_HUMAN (P14621)    
102600: APT_HUMAN   (P07741)    
102610: ACTS_HUMAN  (P68133)    
102620: ACTA_HUMAN  (P62736)    
102630: ACTB_HUMAN  (P60709)    
102642: SOAT1_HUMAN (P35610)    
102645: ACPH_HUMAN  (P13798)    
102670: MADCA_HUMAN (Q13477)    
102680: ADDA_HUMAN  (P35611)    
102681: ADDB_HUMAN  (P35612)    
102700: ADA_HUMAN   (P00813)    
102720: DPP4_HUMAN  (P27487)    
102750: ADK_HUMAN   (P55263)    
102770: AMPD1_HUMAN (P23109)    
102771: AMPD2_HUMAN (Q01433)    
102772: AMPD3_HUMAN (Q01432)    
102775: AA1R_HUMAN  (P30542)    
102776: AA2AR_HUMAN (P29274)    
102900: KPYR_HUMAN  (P30613)    
102910: ATPB_HUMAN  (P06576)    
102980: PACA_HUMAN  (P18509)    
102981: PACR_HUMAN  (P41586)    
103000: KAD1_HUMAN  (P00568)    
103020: KAD2_HUMAN  (P54819)    
103030: KAD4_HUMAN  (P27144)    
103050: PUR8_HUMAN  (P30566)    
103060: PURA2_HUMAN (P30520)    
103070: ADCY8_HUMAN (P40145)    
103071: ADCY2_HUMAN (Q08462)    
103072: ADCY1_HUMAN (Q08828)    
103100: MYP0_HUMAN  (P25189)    
103180: ARF1_HUMAN  (P84077)    
103188: ARF5_HUMAN  (P84085)    
103190: ARF3_HUMAN  (P61204)    
103195: PLIN2_HUMAN (Q99541)    
103220: ADT1_HUMAN  (P12235)    
103260: ADX_HUMAN   (P10109)    
103270: ADRO_HUMAN  (P22570)    
103275: ADML_HUMAN  (P35318)    
103285: P63_HUMAN   (Q9H3D4)    
103320: AGRIN_HUMAN (O00468)    
