HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Previous Names	Synonyms	Chromosome	Accession Numbers	RefSeq IDs
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved				19q13.43		NM_130786
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved			ACF, ASP, ACF64, ACF65, APOBEC1CF	10q21.1	AF271790	NM_014576
HGNC:7	A2M	alpha-2-macroglobulin	Approved			FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	NM_000014
HGNC:23336	A2ML1	alpha-2-macroglobulin-like 1	Approved	CPAMD9	"C3 and PZP-like, alpha-2-macroglobulin domain containing 9"	FLJ25179	12p13	AK057908	NM_144670
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	"alpha 1,3-galactosyltransferase 2, pseudogene"	IGBS3S	1p35.1		NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase	Approved		"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)"	A14GALT, Gb3S, P(k)	22q13.2		NM_017436
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved			alpha4GnT	3p14.3	AF141315	NM_016161
HGNC:13666	AAAS	achalasia, adrenocortical insufficiency, alacrimia	Approved		"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)"		12q13	AJ289841	
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved			FLJ12389, SUR-5, ACSF1	12q24.31	AK022451	NM_023928
HGNC:17	AADAC	arylacetamide deacetylase	Approved		"arylacetamide deacetylase (esterase)"	DAC, CES5A1	3q25.1	L32179	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2	Approved			MGC72001	3q25.1	BC065724	NM_207365
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3	Approved			OTTHUMG00000001887	1p36.21		NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4	Approved			OTTHUMG00000001889	1p36.21		NM_001013630
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved			KATII, KAT2	4q33	AF097994	NM_016228
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	Approved	C9orf21	"chromosome 9 open reading frame 21"		9q22.32	BK000255	NM_153698
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	Approved			FLJ11506, p34	15q22.33-q23	AL136715	NM_024666
HGNC:19679	AAK1	AP2 associated kinase 1	Approved			KIAA1048, DKFZp686K16132	2p13.3	AB028971	NM_014911
