A0A183	IPI00807623
A0A4Z3	IPI00197419
A0A5B9	IPI00956572
A0AQW4	IPI00534246
A0AUP1	IPI00343256
A0AUQ6	IPI00611544
A0AUR5	IPI00482120
A0AUS0	IPI00770202
A0AUV4	IPI00755224
A0AUZ9	IPI00396341
A0AUZ9	IPI00884975
A0AUZ9	IPI00884987
A0AUZ9	IPI00885003
A0AV02	IPI00793608
A0AV02	IPI00855723
A0AV02	IPI00867607
A0AV02	IPI00867726
A0AV02	IPI00867740
A0AV96	IPI00005042
A0AV96	IPI00169342
A0AVF1	IPI00328172
A0AVF1	IPI00921448
A0AVF1	IPI00946826
A0AVI2	IPI00738284
A0AVI2	IPI00883989
A0AVI2	IPI00941524
A0AVI4	IPI00305609
A0AVI4	IPI00783798
A0AVK6	IPI00296318
A0AVT1	IPI00023647
A0AVT1	IPI00827491
A0AVT1	IPI00827864
A0AVT1	IPI00828006
A0AVX7	IPI00570835
A0FGR8	IPI00409635
A0FGR8	IPI00827663
A0FGR8	IPI00827794
A0FGR8	IPI00827920
A0FGR8	IPI00953221
A0FGR9	IPI00646453
A0FGR9	IPI00784300
A0FKI7	IPI00768827
A0FKI7	IPI00845863
A0FKI7	IPI00845886
A0JJX5	IPI00523689
A0JLT2	IPI00185518
A0JLT2	IPI00217978
A0JLX3	IPI00347281
A0JLY1	IPI00349528
A0JMD0	IPI00810229
A0JMD2	IPI00802901
A0JMD4	IPI00800117
A0JME2	IPI00810166
A0JME6	IPI00486202
A0JMF1	IPI00817907
A0JMF6	IPI00920560
A0JMF7	IPI00809984
A0JMF8	IPI00500453
A0JMG1	IPI00494887
A0JMG9	IPI00805888
A0JMH0	IPI00508013
A0JMH2	IPI00817933
A0JMI9	IPI00513000
A0JMK5	IPI00496644
A0JMK8	IPI00770063
A0JMK9	IPI00932972
A0JML8	IPI00496394
A0JMM9	IPI00817782
A0JMP0	IPI00817380
A0JMQ0	IPI00993976
A0JMQ7	IPI00609082
A0JMQ9	IPI00817674
A0JN02	IPI00565773
A0JN02	IPI00565773.1
A0JN27	IPI00776942
A0JN39	IPI00712785
A0JN40	IPI00714392
A0JN41	IPI00826272
A0JN51	IPI00692377
A0JN52	IPI00690059
A0JN53	IPI00713747
A0JN54	IPI00701903
A0JN61	IPI00709484
A0JN62	IPI00711968
A0JN62	IPI01017654
A0JN69	IPI00693373
A0JN71	IPI00824771
A0JN74	IPI00704599
A0JN76	IPI00824921
A0JN80	IPI00701147
A0JN86	IPI00698156
A0JN87	IPI00824510
A0JN92	IPI00696219
A0JN95	IPI00688697
A0JNA2	IPI00708158
A0JNA3	IPI00729057
A0JNA8	IPI00711253
A0JNB0	IPI00695162
A0JNB1	IPI00826796
A0JNB3	IPI00718288
A0JNC0	IPI00701626
A0JNC1	IPI00698778
A0JNC2	IPI00824407
A0JNC3	IPI00712663
A0JNC4	IPI00699544
A0JND2	IPI00827141
A0JND3	IPI00694175
A0JND4	IPI00686261
A0JND9	IPI00825666
A0JNE3	IPI00685366
A0JNF3	IPI00823535
A0JNG0	IPI00699784
A0JNG4	IPI00713240
A0JNG4	IPI00868650
A0JNG6	IPI00826846
A0JNG7	IPI00706958
A0JNH1	IPI00944411
A0JNH6	IPI00706997
A0JNH9	IPI00695070
A0JNI1	IPI00824412
A0JNI4	IPI00685867
A0JNI5	IPI00694883
A0JNI8	IPI00692674
A0JNI8	IPI00839239
A0JNI9	IPI00706188
A0JNJ1	IPI00707125
A0JNJ3	IPI00825687
A0JNJ4	IPI00905970
A0JNJ5	IPI00827469
A0JNK3	IPI00686966
A0JNK6	IPI00826339
A0JNL1	IPI00824536
A0JNL5	IPI00705780
A0JNL8	IPI00694963
A0JNM1	IPI00689648
A0JNM6	IPI00696700
A0JNN2	IPI00733552
A0JNN3	IPI00690333
A0JNN6	IPI00713655
A0JNN8	IPI00826876
A0JNP2	IPI00824879
A0JNQ6	IPI00698424
A0JNQ7	IPI00710893
A0JNT9	IPI00227563
A0JNT9	IPI00228216
A0JNT9	IPI00750507
A0JNU3	IPI00341423
A0JNW5	IPI00157895
A0JNW5	IPI00479669
A0JP43	IPI00875933
A0JP43	IPI00881348
A0JP43	IPI00881487
A0JPE9	IPI00619601
A0JPF5	IPI00804271
A0JPF9	IPI00512554
A0JPF9	IPI00992860
A0JPI9	IPI00368004
A0JPI9	IPI00867933
A0JPJ7	IPI00194312
A0JPK3	IPI00422020
A0JPL0	IPI00210343
A0JPM9	IPI00364189
A0JPN1	IPI00194237
A0JPN2	IPI00366431
A0JPN3	IPI00780659
A0JPN4	IPI00359318
A0JPN6	IPI00211619
A0JPN6	IPI00869894
A0JPP1	IPI00206162
A0JPP4	IPI00559513
A0JPP5	IPI00197747
A0JPP7	IPI00370215
A0JPP8	IPI00364059
A0JPQ1	IPI00390770
A0JPQ4	IPI00361208
A0JPQ7	IPI00392215
A0JPQ8	IPI00365607
A0JPQ9	IPI00196113
A0JPZ8	IPI00538686
A0JPZ8	IPI00852271
A0M8Q6	IPI00642632
A0M8U1	IPI00576323
A0MDQ1	IPI00570394
A0MEB5	IPI00545643
A0MES8	IPI00530730
A0MEX7	IPI00524170
A0MFH4	IPI00535541
A0MFL4	IPI00528604
A0MFS9	IPI00530268
A0MFS9	IPI00532039
A0MGZ5	IPI00613995
A0MGZ7	IPI00483479
A0MS83	IPI00844872
A0MSJ1	IPI00507446
A0MTA1	IPI00498781
A0MTF4	IPI00688298
A0MZ66	IPI00448751
A0MZ66	IPI00854567
A0MZ66	IPI00854700
A0MZ66	IPI00854856
A0MZ66	IPI00921857
A0MZ66	IPI00921922
A0MZ66	IPI00922178
A0MZ67	IPI00363763
A0MZ67	IPI00855232
A0N0X6	IPI00699748
A0PG75	IPI00374235
A0PJE2	IPI00003025
A0PJE2	IPI00062441
A0PJE2	IPI00877089
A0PJK1	IPI00217554
A0PJK1	IPI00441079
A0PJK1	IPI00791625
A0PJK1	IPI00873252
A0PJK1	IPI00888822
